Name,State,Notes,User,Tags,Created,Runtime,Sweep,ae_input_days,batch_size,checkpoint,cnn_batchnorm,dataset,epochs,latent_dimension,learning_rate,learning_rate_style,loss,model,noise,noise_pct,optimiser,optimiser_hyperparams,weight_decay,best_val_loss,epoch,train_loss,val_loss,cr
peachy-frog-219,finished,-,syip0005,,2022-10-06T01:05:51.000Z,157,,12,512,./model_param/state_6010924.pt,true,CERN3,1000,14,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.016261463984847,1000,0.015329643049174,0.016385762020946,41.1428571428572
chocolate-pyramid-218,finished,-,syip0005,,2022-10-06T00:54:59.000Z,644,,12,512,./model_param/state_3837739.pt,true,CERN3,1000,14,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.014581344556064,1000,0.012333296860258,0.015686131082475,41.1428571428572
proud-snow-217,finished,-,syip0005,,2022-10-06T00:43:42.000Z,666,,12,512,./model_param/state_9291149.pt,true,CERN3,1000,14,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.014758502598852,1000,0.012369219679386,0.016097137704492,41.1428571428572
dulcet-totem-216,finished,-,syip0005,,2022-10-06T00:40:55.000Z,162,,12,512,./model_param/state_1544321.pt,true,CERN3,1000,19,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.016377474181354,1000,0.015217015261038,0.016586021520197,30.3157894736842
unique-thunder-215,finished,-,syip0005,,2022-10-06T00:29:19.000Z,690,,12,512,./model_param/state_4668250.pt,true,CERN3,1000,19,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.013916954863817,1000,0.01129184373551,0.015563803259283,30.3157894736842
eager-snowflake-214,finished,-,syip0005,,2022-10-06T00:18:34.000Z,636,,12,512,./model_param/state_8339610.pt,true,CERN3,1000,19,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.014062963426113,1000,0.01141077424917,0.015898633748293,30.3157894736842
resilient-thunder-213,finished,-,syip0005,,2022-10-06T00:15:52.000Z,156,,12,512,./model_param/state_3177754.pt,true,CERN3,1000,28,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.014957082923502,1000,0.014345245332354,0.01510676369071,20.5714285714286
wild-microwave-212,finished,-,syip0005,,2022-10-06T00:05:06.000Z,641,,12,512,./model_param/state_9211848.pt,true,CERN3,1000,28,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.012995805125684,1000,0.009766279512809,0.014873002190143,20.5714285714286
denim-music-211,finished,-,syip0005,,2022-10-05T23:54:22.000Z,637,,12,512,./model_param/state_9038958.pt,true,CERN3,1000,28,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.012953583151102,1000,0.009984374356767,0.015434521716088,20.5714285714286
misty-bush-210,finished,-,syip0005,,2022-10-05T23:51:38.000Z,158,,12,512,./model_param/state_4949395.pt,true,CERN3,1000,32,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.015364837367088,1000,0.014340377309256,0.015397423412651,18
drawn-moon-209,finished,-,syip0005,,2022-10-05T23:40:52.000Z,640,,12,512,./model_param/state_6059646.pt,true,CERN3,1000,32,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.012449867557734,1000,0.009369771022143,0.014343266375363,18
vague-star-208,finished,-,syip0005,,2022-10-05T23:29:58.000Z,641,,12,512,./model_param/state_7472697.pt,true,CERN3,1000,32,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.012591473758221,1000,0.009357022820041,0.015323908999562,18
clean-planet-207,finished,-,syip0005,,2022-10-05T23:27:14.000Z,158,,12,512,./model_param/state_7016618.pt,true,CERN3,1000,38,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.015150698833168,1000,0.014229267939097,0.015257318504155,15.1578947368421
comic-forest-206,finished,-,syip0005,,2022-10-05T23:16:18.000Z,651,,12,512,./model_param/state_6717788.pt,true,CERN3,1000,38,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.011992155574262,1000,0.008663183388611,0.014097055885941,15.1578947368421
trim-smoke-203,finished,-,syip0005,,2022-10-05T22:28:37.000Z,1025,,12,512,./model_param/state_3869306.pt,true,CERN3,1000,38,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.012041630689055,1000,0.008532665721658,0.014917712192983,15.1578947368421
solar-rain-202,finished,-,syip0005,,2022-10-05T22:18:41.000Z,591,,12,512,./model_param/state_2264446.pt,true,CERN3,1000,44,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.014902457594872,1000,0.014089183364478,0.015060332138091,13.0909090909091
