Name,Runtime,Notes,GPU Type,GPU Count,State,Tags,Updated,ID,User,Group,Job Type,Created,End Time,Sweep,Hostname,Description,Commit,GitHub,epochs,latent_dimension,model,ae_input_days,batch_size,checkpoint,cnn_batchnorm,dataset,learning_rate,learning_rate_style,loss,noise,noise_pct,optimiser,optimiser_hyperparams,weight_decay,best_val_loss,epoch,train_loss,val_loss,cr
fine-bush-294,116,-,NVIDIA GeForce GTX 1060 6GB,1,finished,,2022-10-06T04:23:31.000Z,36o683fw,syip0005,,,2022-10-06T04:21:35.000Z,2022-10-06T04:23:31.000Z,,scott-System-Product-Name,,,https://github.com/syip0005/hybridcompression/tree/5ca9d47212e4f5be2dbc407b9aa299d360528046,1000,21,HAE,4,512,./model_param/state_6705246.pt,TRUE,UMASS2,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.022247467,1000,0.012435555,0.029866919,18.28571429
astral-sun-293,1090,-,NVIDIA GeForce GTX 1060 6GB,1,finished,,2022-10-06T04:21:08.000Z,59a7gf73,syip0005,,,2022-10-06T04:02:58.000Z,2022-10-06T04:21:08.000Z,,scott-System-Product-Name,,,https://github.com/syip0005/hybridcompression/tree/5ca9d47212e4f5be2dbc407b9aa299d360528046,1000,10,HAE,4,512,./model_param/state_6651507.pt,TRUE,CERN3,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.017406092,1000,0.015801872,0.017653508,19.2
generous-sound-292,103,-,NVIDIA GeForce GTX 1060 6GB,1,finished,,2022-10-06T04:02:44.000Z,186f7rwb,syip0005,,,2022-10-06T04:01:01.000Z,2022-10-06T04:02:44.000Z,,scott-System-Product-Name,,,https://github.com/syip0005/hybridcompression/tree/5ca9d47212e4f5be2dbc407b9aa299d360528046,1000,42,HAE,8,512,./model_param/state_4899273.pt,TRUE,UMASS2,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.021601686,1000,0.005317282,0.033266932,18.28571429
faithful-pond-291,753,-,NVIDIA GeForce GTX 1060 6GB,1,finished,,2022-10-06T04:00:35.000Z,2z3a578h,syip0005,,,2022-10-06T03:48:02.000Z,2022-10-06T04:00:35.000Z,,scott-System-Product-Name,,,https://github.com/syip0005/hybridcompression/tree/5ca9d47212e4f5be2dbc407b9aa299d360528046,1000,21,HAE,8,512,./model_param/state_5129822.pt,TRUE,CERN3,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.013901854,1000,0.011459036,0.015093161,18.28571429
cerulean-hill-290,68,-,NVIDIA GeForce GTX 1060 6GB,1,finished,,2022-10-06T03:47:53.000Z,1z1n08mc,syip0005,,,2022-10-06T03:46:45.000Z,2022-10-06T03:47:53.000Z,,scott-System-Product-Name,,,https://github.com/syip0005/hybridcompression/tree/5ca9d47212e4f5be2dbc407b9aa299d360528046,1000,85,HAE,16,512,./model_param/state_5841247.pt,TRUE,UMASS2,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.019530792,1000,0.012376786,0.020821556,18.07058824
fluent-energy-289,481,-,NVIDIA GeForce GTX 1060 6GB,1,finished,,2022-10-06T03:46:36.000Z,2r5lgq8r,syip0005,,,2022-10-06T03:38:35.000Z,2022-10-06T03:46:36.000Z,,scott-System-Product-Name,,,https://github.com/syip0005/hybridcompression/tree/5ca9d47212e4f5be2dbc407b9aa299d360528046,1000,42,HAE,16,512,./model_param/state_5027869.pt,TRUE,CERN3,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.011563736,1000,0.007935771,0.015527999,18.28571429
snowy-bush-288,82,-,NVIDIA GeForce GTX 1060 6GB,1,finished,,2022-10-06T03:38:22.000Z,yd4f4qu4,syip0005,,,2022-10-06T03:37:00.000Z,2022-10-06T03:38:22.000Z,,scott-System-Product-Name,,,https://github.com/syip0005/hybridcompression/tree/5ca9d47212e4f5be2dbc407b9aa299d360528046,1000,128,HAE,24,512,./model_param/state_3494886.pt,TRUE,UMASS2,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.030543217,1000,0.03003874,0.035687257,18
fluent-river-287,307,-,NVIDIA GeForce GTX 1060 6GB,1,finished,,2022-10-06T03:36:29.000Z,yiiizp8j,syip0005,,,2022-10-06T03:31:22.000Z,2022-10-06T03:36:29.000Z,,scott-System-Product-Name,,,https://github.com/syip0005/hybridcompression/tree/5ca9d47212e4f5be2dbc407b9aa299d360528046,1000,64,HAE,24,512,./model_param/state_2732355.pt,TRUE,CERN3,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.010751581,1000,0.005197713,0.01440477,18
iconic-violet-286,70,-,NVIDIA GeForce GTX 1060 6GB,1,finished,,2022-10-06T03:31:14.000Z,rm4gm1ke,syip0005,,,2022-10-06T03:30:04.000Z,2022-10-06T03:31:14.000Z,,scott-System-Product-Name,,,https://github.com/syip0005/hybridcompression/tree/5ca9d47212e4f5be2dbc407b9aa299d360528046,1000,149,HAE,28,512,./model_param/state_2689243.pt,TRUE,UMASS2,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.03359808,1000,0.030349191,0.039854951,18.04026846
eager-plant-285,360,-,NVIDIA GeForce GTX 1060 6GB,1,finished,,2022-10-06T03:29:51.000Z,2iheqtg0,syip0005,,,2022-10-06T03:23:51.000Z,2022-10-06T03:29:51.000Z,,scott-System-Product-Name,,,https://github.com/syip0005/hybridcompression/tree/5ca9d47212e4f5be2dbc407b9aa299d360528046,1000,74,HAE,28,512,./model_param/state_2830985.pt,TRUE,CERN3,0.001,constant,MSE,none,0.1,Adam,default,1.00E-10,0.010379785,1000,0.004854792,0.014637393,18.16216216
